Origin,Destination,Price
Lyon-Part-Dieu,Nice-Ville,86.0
Cannes,Lyon-Part-Dieu,86.0
Lyon-Perrache-Voyageurs,Nice-Ville,86.0
Cannes,Lyon-Perrache-Voyageurs,86.0
Lyon-St-Exupéry-TGV,Nice-Ville,86.0
Lyon-St-Exupéry-TGV,Antibes,86.0
Rives,Marne-la-Vallée-Chessy,96.0
Avignon-TGV,Neufchâteau,87.0
Le Havre,Lyon-Perrache-Voyageurs,97.0
Besançon-Viotte,Cherbourg,97.0
Angers-St-Laud,Champagne-Ardenne-TGV,92.0
Culoz,Paris-Nord,89.0
Angers-St-Laud,Le Creusot-Montceau-Montchanin,95.0
Agde,Beaune,84.0
Le Mans,Arras,92.0
Toulon,Beaune,87.0
Lorraine-TGV,Douai,102.0
Beaune,Narbonne,84.0
Fontainebleau-Avon,Valence-TGV,93.0
Mâcon-Loché-TGV,Nice-Ville,95.0
Mâcon-Loché-TGV,Antibes,95.0
Le Pouliguen,TGV Haute-Picardie,98.0
Laval,Le Creusot-Montceau-Montchanin,100.0
Angers-St-Laud,Lille-Europe,101.0
Arras,St-Pierre-des-Corps,101.0
Futuroscope,TGV Haute-Picardie,102.0
Nîmes,Montbéliard,91.0
Montpellier (CNM),Montbéliard,96.0
Aix-en-Provence-TGV,Laroche-Migennes,95.0
Marseille-St-Charles,Neufchâteau,98.0
Lyon-Part-Dieu,TGV Haute-Picardie,106.0
Nantes,Le Creusot-Montceau-Montchanin,107.0
Avignon-TGV,Melun,103.0
Lorraine-TGV,St-Pierre-des-Corps,106.0
Lille-Europe,St-Nazaire,108.0
Pornichet,Lille-Europe,108.0
Tours,Valence-TGV,113.0
Cannes,Beaune,116.0
La Rochelle-Ville,TGV Haute-Picardie,112.0
Angers-St-Laud,Lorraine-TGV,112.0
Chambéry-Challes-les-Eaux,St-Pierre-des-Corps,114.0
Lille-Flandres,Lyon-Part-Dieu,116.0
Lille-Europe,Lyon-Perrache-Voyageurs,116.0
Lyon-Perrache-Voyageurs,Douai,116.0
Saumur-Rive-Droite,Valence-TGV,116.0
Angers-St-Laud,Valence,116.0
Marne-la-Vallée-Chessy,Bourg-St-Maurice,118.0
Massy-TGV,Aime-La Plagne,118.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Aime-La Plagne,118.0
Massy-TGV,St-Avre-la-Chambre,109.0
St-Avre-la-Chambre,Marne-la-Vallée-Chessy,109.0
St-Avre-la-Chambre,Paris-Nord,109.0
St-Jean-de-Maurienne-Arvan,Marne-la-Vallée-Chessy,111.0
Modane,Paris-Gare-de-Lyon,113.0
Marne-la-Vallée-Chessy,St-Michel-Valloire,113.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),St-Michel-Valloire,113.0
Marne-la-Vallée-Chessy,Annecy,104.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Bellegarde,91.0
Paris-Gare-de-Lyon,Bourg-en-Bresse,84.0
Paris-Gare-de-Lyon,Thonon-les-Bains,108.0
Massy-TGV,Annemasse,108.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Sallanches-Combloux-Megève,119.0
Paris-Nord,St-Gervais-les-Bains-Le Fayet,119.0
Massy-TGV,Le Creusot-Montceau-Montchanin,82.0
Montbard,Paris-Gare-de-Lyon,57.0
Paris-Gare-de-Lyon,Belfort-Montbéliard-TGV,97.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Belfort-Montbéliard-TGV,97.0
Paris-Gare-de-Lyon,Valence,103.0
Marne-la-Vallée-Chessy,Valence,103.0
Versailles-Chantiers,Valence,103.0
Massy-Palaiseau-Grande-Ceinture,Valence,103.0
Le Teil,Paris-Gare-de-Lyon,105.0
Massy-TGV,Meuse-TGV,44.0
Paris-Est,St-Dié,86.0
Paris-Est,Thionville,83.0
Paris-Est,Sedan,49.0
Paris-Nord,Douai,52.0
Meuse-TGV,Lunéville,33.0
Lyon-St-Exupéry-TGV,Nantes,108.0
Lyon-Part-Dieu,Châtellerault,96.0
Lyon-St-Exupéry-TGV,Poitiers,96.0
Lyon-St-Exupéry-TGV,St-Pierre-des-Corps,95.0
Avignon-TGV,Marseille-St-Charles,30.0
Avignon-TGV,Hyères,43.0
Avignon-TGV,Les Arcs-Draguignan,50.0
Avignon-TGV,St-Raphaël-Valescure,53.0
Mâcon-Loché-TGV,Orange,51.0
Meuse-TGV,Remiremont,46.0
Meuse-TGV,Épinal,37.0
Saverne,St-Pierre-des-Corps,127.0
Poitiers,Saverne,137.0
Angoulême,Saverne,146.0
Mulhouse-Ville,École-Valentin,38.0
Valence-TGV,École-Valentin,73.0
Vendôme-Villiers-sur-Loir,Le Creusot-Montceau-Montchanin,89.0
Vendôme-Villiers-sur-Loir,Lyon-St-Exupéry-TGV,95.0
Chambéry-Challes-les-Eaux,Vendôme-Villiers-sur-Loir,114.0
Vendôme-Villiers-sur-Loir,Marseille-St-Charles,125.0
Vendôme-Villiers-sur-Loir,Douai,101.0
Vendôme-Villiers-sur-Loir,Marne-la-Vallée-Chessy,65.0
Vendôme-Villiers-sur-Loir,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),65.0
Nancy-Ville,Vendôme-Villiers-sur-Loir,106.0
Lyon-St-Exupéry-TGV,Belfort-Montbéliard-TGV,67.0
Champagne-Ardenne-TGV,Saverne,66.0
Lille-Europe,École-Valentin,120.0
Strasbourg-Ville,Moûtiers-Salins-Brides-les-Bains,117.0
Strasbourg-Ville,Bourg-St-Maurice,117.0
Colmar,Chambéry-Challes-les-Eaux,92.0
Colmar,Bourg-St-Maurice,109.0
Mulhouse-Ville,Aime-La Plagne,102.0
Mulhouse-Ville,Landry,102.0
Moûtiers-Salins-Brides-les-Bains,Belfort-Montbéliard-TGV,92.0
Bourg-St-Maurice,Besançon-Franche-Comté-TGV,78.0
Avignon-TGV,Rennes,142.0
Lille-Flandres,Avignon-TGV,144.0
Metz-Ville,Avignon-TGV,114.0
Avignon-TGV,Belfort-Montbéliard-TGV,108.0
Besançon-Viotte,Avignon-TGV,91.0
