Origin,Destination,Price
Périgueux,Brive-la-Gaillarde,13.9
Bayeux,Valognes,13.9
Argentan,Vire,13.9
Biarritz,Orthez,14.1
Lourdes,Montréjeau-Gourdan-Polignan,14.1
Lison,Cherbourg,14.1
Libourne,St-Astier,14.1
Creil,Longueau,14.1
Limoges-Bénédictins,La Souterraine,14.1
Brive-la-Gaillarde,Gourdon,14.1
Cannes,Les Arcs-Draguignan,14.1
Uzerche,Limoges-Bénédictins,14.1
Issoudun,Argenton-sur-Creuse,14.1
Sées,Le Mans,14.1
St-Quentin,Maubeuge,14.1
Caen,Carentan,14.1
Bar-sur-Aube,Langres,14.1
Châteauroux,St-Sébastien,14.1
Carcassonne,Narbonne,14.1
Alençon,Écommoy,14.2
Briare,Pougues-les-Eaux,14.2
Coutras,Périgueux,14.2
Tergnier,Cambrai,14.2
Vichy,Roanne,14.4
Oissel,Bréauté-Beuzeville,14.4
Pons,St-André-de-Cubzac,14.4
Bordeaux-St-Jean,Montpon-Ménestérol,14.4
Montargis,Cosne,14.4
Nantes,La Roche-sur-Yon,14.4
Nemours-St-Pierre,Briare,14.5
Longueville,Troyes,14.5
Abbeville,Boulogne-Ville,14.5
Bréval,Serquigny,14.5
Écommoy,Tours,14.5
Écommoy,St-Pierre-des-Corps,14.5
Lisieux,Bayeux,14.5
Montauban-Ville-Bourbon,Cahors,14.6
Perpignan,Narbonne,14.6
Nice-Ville,St-Raphaël-Valescure,14.6
Souillac,Cahors,14.6
Châteauroux,Vierzon-Ville,14.6
Orthez,Lourdes,14.7
Bernay,Caen,14.7
Paris-St-Lazare,Vernon-Giverny,14.7
Nogent-sur-Vernisson,Pouilly-sur-Loire,14.7
Brive-la-Gaillarde,Meymac,14.7
Creil,Amiens,14.8
Jonzac,Bordeaux-St-Jean,14.8
Creil,Tergnier,14.8
Coarraze-Nay,Lannemezan,14.8
Nancy-Ville,Sarrebourg,14.8
Verneuil-sur-Avre,Argentan,14.8
Marseille-St-Charles,Toulon,15.0
Paris-St-Lazare,Bueil,15.0
Paris-Nord,St-Just-en-Chaussée,15.0
Terrasson-Lavilledieu,Égletons,15.0
Les Aubrais-Orléans,Vierzon-Ville,15.0
Paris-Montparnasse,Dreux,15.1
Caen,Surdon,15.1
Génolhac,Nîmes,15.1
Chauny,Cambrai,15.3
Briare,Fourchambault,15.3
Mantes-la-Jolie,Rouen-Rive-Droite,15.3
Évreux-Embranchement,Lisieux,15.3
Saintes,St-Mariens-St-Yzan,15.3
Noyon,Caudry,15.3
Mussidan,Condat-le-Lardin,15.4
L'Aigle,Briouze,15.4
Paris-Nord,Compiègne,15.4
Surdon,Le Mans,15.4
Langres,Vesoul,15.4
Toulon,Les Arcs-Draguignan,15.5
Clermont-Ferrand,St-Germain-des-Fossés,15.5
Béziers,Montpellier-St-Roch,15.5
Antibes,Les Arcs-Draguignan,15.5
Narbonne,Sète,15.5
Agen,Montauban-Ville-Bourbon,15.5
Amiens,Rang-du-Fliers-Verton,15.6
Flers,Granville,15.6
Langogne,Alès,15.6
Châtelaillon,Pons,15.7
Bar-sur-Aube,Culmont-Chalindrey,15.7
Gien,Pougues-les-Eaux,15.7
Langeac,La Bastide-St-Laurent-les-Bains,15.7
Bourges,Vallon,15.7
Gaillon-Aubevoye,Yvetot,15.7
Condat-le-Lardin,Égletons,15.9
Montargis,Tracy-Sancerre,15.9
Coutras,Niversac,15.9
Briouze,Folligny,15.9
Mantes-la-Jolie,Bréval,15.9
Rochefort,Jonzac,15.9
Nantes,Angers-St-Laud,16.0
Rouen-Rive-Droite,Le Havre,16.0
Mézidon,Alençon,16.0
St-Jean-de-Luz-Ciboure,Orthez,16.0
Lourdes,St-Gaudens,16.0
Briare,Nevers,16.2
Surdon,Vire,16.2
St-Florent-sur-Cher,Montluçon-Ville,16.2
Niversac,Tulle,16.2
Vierzon-Ville,Saincaize,16.3
Mussidan,Terrasson-Lavilledieu,16.3
Longueau,Rang-du-Fliers-Verton,16.3
Nogent-sur-Seine,Vendeuvre-Jort,16.3
Saincaize,St-Germain-des-Fossés,16.3
Les Aubrais-Orléans,Amboise,16.5
Romilly-sur-Seine,Bar-sur-Aube,16.5
